C0_CD4_FOXP3_nam,C0_CD4_FOXP3_pva,C0_CD4_FOXP3_log,C1_CD8_HAVCR2_nam,C1_CD8_HAVCR2_pva,C1_CD8_HAVCR2_log,C2_CD8_GZMK_nam,C2_CD8_GZMK_pva,C2_CD8_GZMK_log,C4_CD4_CCR7_nam,C4_CD4_CCR7_pva,C4_CD4_CCR7_log,C5_CD8_GZMK_nam,C5_CD8_GZMK_pva,C5_CD8_GZMK_log,C6_CD8_ZNF683_nam,C6_CD8_ZNF683_pva,C6_CD8_ZNF683_log,C7_CD8_ZNF683_nam,C7_CD8_ZNF683_pva,C7_CD8_ZNF683_log,C8_CD4_CXCL13_nam,C8_CD4_CXCL13_pva,C8_CD4_CXCL13_log,C9_CD4_EZH2_nam,C9_CD4_EZH2_pva,C9_CD4_EZH2_log
STAB1,0.967659381,0.4529732,ANGEL1,0.920214148,-0.7506319,SMARCAD1,0.984301277,0.15101741,LRP1,0.98525281,0.0965002,IFFO2,0.896057241,-0.31009334,PTH2R,0.89639077,1.5910696,SNX7,0.859875825,1.5875151,SIAH2,0.210356626,1.5238378,WWP2,0.037546075,1.6485753
FNDC1,0.967659381,0.51411563,SENP3,0.920187211,-0.7536392,PLXDC2,0.98433158,0.06559256,CCDC59,0.985334187,0.03694925,GAA,0.89600212,0.0283104,OS9,0.896409481,0.07328677,ANKEF1,0.85991407,1.6678762,PDS5B,0.210376942,0.47588912,AHNAK,0.037615262,0.16523233
LCTL,0.967659381,0.4465635,FGF17,0.920187211,-0.8399129,KAT8,0.984392185,0.10424218,CLSTN3,0.985562044,0.075523615,DCAF4,0.895946999,-0.47608826,UST,0.896428193,1.4890958,USP51,0.860067052,1.5208066,EEPD1,0.210620851,2.8902388,CCDC117,0.037638348,2.1284614
BCAT1,0.967659381,0.5513713,FCRLB,0.920133336,-0.78579164,FHL2,0.984604303,0.2014113,DCAF8,0.985675973,0.12798467,DPEP2,0.895708149,-0.20058912,NUDCD2,0.896446904,0.12664996,SMPDL3A,0.860258287,1.4272557,SUPT16H,0.210956559,0.32021368,INIP,0.037676851,0.9801124
TLR6,0.967659381,0.5294412,LETM2,0.920133336,-0.7266446,WDR53,0.984695212,0.29094905,NOLC1,0.986001485,0.1865438,HSPH1,0.895671403,0.21746364,LHX1,0.896540463,0.6834599,FAM234B,0.860296535,1.428092,MLX,0.21102782,0.46501595,SKI,0.037811878,0.9471789
LMNTD2,0.967659381,0.5227104,TSC1,0.92001212,0.012532357,TBC1D19,0.984725514,0.070832334,TRUB1,0.986327,0.22757031,LDAH,0.895634658,-0.051561303,GFPT2,0.896540463,0.7808701,PEAK1,0.860296535,1.1941742,TBC1D31,0.21102782,1.3168007,HRAS,0.037862136,2.0915446
ABCD1,0.967659381,0.4313312,PAGE5,0.919998652,-1.014964,ANKRD13D,0.984725514,0.063075766,GPN3,0.986457206,0.21238336,DPYSL2,0.895377448,0.13263912,LGALS8,0.896746296,0.17424507,ZNF165,0.860296535,1.4645445,RNF130,0.211038001,0.8963429,USF2,0.037939566,0.5155965
DEGS2,0.967659381,0.519955,ZNF550,0.919971715,-0.116591714,SDC2,0.98489218,0.33062643,DDX28,0.986473482,0.124928676,CCDC7,0.895322333,-0.84163487,IKZF5,0.896933424,0.2181021,C12orf42,0.860334783,1.3440642,RB1,0.211292655,0.8223649,MARK2,0.037962822,1.2866119
TMEM256-PLSCR3,0.967683886,0.558608,EEFSEC,0.919971715,0.21208894,SLC2A8,0.984907332,0.10972053,C9orf72,0.986750172,0.07213297,RASGEF1B,0.895230476,-0.17364658,C1RL,0.897307697,0.386292,COLQ,0.860411281,1.313214,HNMT,0.211302845,1.7031379,HCCS,0.038040427,1.7015631
C6orf52,0.967683886,0.42723092,WDR41,0.919944778,0.063751526,EGLN1,0.984937635,0.07262172,CES4A,0.986782724,0.1346033,OSBPL10,0.895120249,-0.006432872,ABCC5,0.897401268,0.25073805,CCDC102A,0.860602531,1.1830624,SNX14,0.211414967,0.5789534,DFFA,0.038125949,1.1699996
MROH8,0.967683886,0.70592815,ZNF346,0.919635014,0.22285955,RP9,0.984952786,0.17032953,ACTR6,0.986847828,0.14349343,CFH,0.894991654,0.06659438,NMD3,0.897476127,0.30145043,SOX11,0.860602531,1.2238963,CUL4A,0.211476142,0.6696138,NSUN2,0.038137624,1.2237651
PRR15,0.967708392,0.38637957,PIGC,0.919581143,0.20182188,MEN1,0.985028544,0.1811082,POLE,0.986912932,0.5126084,FAM160B2,0.894936542,-0.047859333,PRKDC,0.897494841,0.11641644,SPIDR,0.860602531,0.38990664,AGO3,0.21158833,0.52688795,CLIP1,0.038164877,0.55740273
ADGRA2,0.967708392,0.48770612,TMEM161A,0.919527273,0.009970681,ARHGAP12,0.985240665,0.061066516,APOL4,0.987157072,0.5309259,FAM117B,0.894881431,-0.89397097,LTBP3,0.897813001,0.16868433,FTSJ1,0.860621656,0.25337797,RAD51C,0.211741383,0.5680104,UNC119,0.038262343,1.1944356
TMEM100,0.967708392,0.49681064,ZBTB14,0.91948687,0.07334061,RAB3A,0.985270969,0.48311716,DYRK3,0.987157072,0.7006781,GAS7,0.894863061,-0.0415842,CRLF3,0.897831716,0.048556436,SLC10A3,0.860621656,0.35734072,CMTM8,0.211843463,1.2646725,SOD2,0.03827015,0.44413584
RNF111,0.967732898,0.28082788,PKN2,0.919459935,0.13641372,TMEM161A,0.985316423,0.10995031,RIBC2,0.987157072,0.6218489,MCM2,0.894679362,0.121340305,PDK2,0.89790658,0.18253739,EGLN2,0.861004181,0.07702773,PPP4R3B,0.21197622,0.41743731,GRWD1,0.038363933,1.0419625
SOX9,0.967732898,0.31717658,ZNF253,0.919379131,-0.095947996,MAGT1,0.985361878,0.12050592,AJUBA,0.987189624,0.74313045,HYI,0.894642623,0.1035914,PAK1,0.898037594,0.45165548,DALRD3,0.861023309,0.12947592,UNG,0.212006865,1.2037497,RB1CC1,0.038493204,0.48767373
CA12,0.967732898,0.4194103,COL7A1,0.919352197,-22.356153,AUTS2,0.985604305,0.10505531,PRRG2,0.987189624,0.50055975,TSHZ1,0.894569145,0.057580475,TRIM8,0.89805631,0.4056578,CHD8,0.861539772,0.066782594,NPRL2,0.21204773,0.63623846,CEBPB,0.038544231,0.30007026
ZNF554,0.967732898,0.36797845,EDNRB,0.919352197,-22.295567,PDLIM3,0.985846733,-0.14940648,FAM86B1,0.987189624,0.65891355,L3HYPDH,0.894495669,-0.27005503,TMEM176B,0.898075027,0.41709068,SYT11,0.86176933,0.19191444,UBE3A,0.212098818,0.22848132,ZFYVE21,0.03864252,1.0509995
GIPR,0.967732898,0.3447838,MAOA,0.919352197,-21.94534,L1CAM,0.985861885,0.49746224,TMEM44,0.987189624,0.68790483,MTX2,0.8944773,0.19870885,PLRG1,0.898224761,0.14863716,TMEM176B,0.861884114,0.32778457,ATF7,0.212149916,1.2963201,TRIB3,0.038871372,1.8367516
PRR15L,0.967757403,0.38040656,POLR3G,0.919352197,-22.004118,LOXL2,0.985892189,0.5479079,SENP8,0.987189624,0.56088483,PPARG,0.894458931,-22.949846,CCDC71,0.898243478,0.18884028,PRKCE,0.862209349,0.64004695,KRI1,0.212160137,1.0353038,KBTBD3,0.038879284,1.2471112
LPIN3,0.967781909,0.25062022,DNAH8,0.919352197,-22.51634,MAML3,0.985892189,0.54410136,FRAS1,0.987189624,0.8080725,LZTS1,0.894458931,-23.133152,CEP295,0.898280912,0.4980835,CCDC92,0.862324144,0.34207115,TSN,0.212313489,0.40502852,XRCC1,0.038950553,1.3052274
SFXN2,0.967806415,0.49252826,CDKL5,0.919352197,-22.496075,TIMM17B,0.985907341,0.11456742,MGARP,0.987189624,0.5566955,ANLN,0.894458931,-22.43735,HIRIP3,0.898355781,0.26038212,YRDC,0.862630277,0.6110802,RASSF3,0.212323715,0.63441485,NUDT9,0.038950553,1.6706551
GRP,0.967806415,0.4168653,FNDC4,0.919352197,-22.286888,B3GLCT,0.985907341,0.24987443,GPC6,0.987189624,0.7836895,POU5F1,0.894458931,-22.681925,FBXL12,0.898767577,0.3378907,PSME4,0.862745083,0.2653054,EED,0.212405538,0.60853875,CSNK1G3,0.038974334,0.8767999
FASTKD1,0.967830921,0.29916435,CX3CL1,0.919352197,-22.115114,PRICKLE1,0.985922492,0.47442365,MYRF,0.987189624,0.7838515,PRRG4,0.894458931,-23.07757,MRPL28,0.898823733,0.1228702,PDLIM3,0.862783352,0.6660323,A2M,0.212763783,1.217912,EIF2B4,0.039013997,1.0379993
THUMPD2,0.967916691,0.21237832,F2RL1,0.919352197,-22.473059,TBC1D9,0.985922492,0.68281376,ZNF334,0.987189624,0.7866759,TIGD6,0.894458931,-23.275692,GRK5,0.899347881,0.34906882,ATAT1,0.862859891,0.5885381,SRBD1,0.212804753,1.5602717,ARID4A,0.039045751,0.36478043
NXN,0.967928944,0.14907828,FAM13C,0.919352197,-22.405535,HES1,0.985952796,0.37134218,TLN2,0.987189624,0.694747,COLQ,0.894458931,-23.455883,PSMC1,0.899366602,0.16816875,PPP2R5E,0.862917296,0.15310548,TBC1D15,0.213266057,0.76433176,S100A10,0.039121257,0.93002427
MVK,0.967990209,0.27913767,STK33,0.919352197,-22.323854,NOTCH4,0.985952796,0.49013144,ADAMTS2,0.987189624,0.56154704,KCNK15,0.894458931,-23.24608,NFKBIE,0.899535088,0.43067735,PSMD5,0.86307038,0.31210166,SCFD1,0.21348158,0.381309,SRR,0.039125234,3.4452438
AP3S2,0.968051474,0.34101212,ANO7,0.919352197,-22.179756,TIE1,0.9859831,0.72899324,PVR,0.987189624,0.5310665,ZNF483,0.894458931,-23.284887,TMEM18,0.899946962,0.1670072,TBC1D13,0.863204333,0.5384474,TECPR1,0.213563725,1.3611088,RFWD3,0.03927663,2.3861918
PIGL,0.968100487,0.11556256,RHBDF1,0.919352197,-22.170307,RPA4,0.986013403,0.4083063,INAFM2,0.987222176,0.6906589,ORC1,0.894458931,-22.457663,ELMOD3,0.90009674,0.16999054,UCKL1,0.863395701,0.3005006,C2orf69,0.213584265,0.89775497,GIMAP1,0.03927663,0.16204798
COQ5,0.968186258,0.2638019,TRPC1,0.919352197,-22.33751,ZFP69B,0.986013403,0.5537089,FBN2,0.987222176,0.5193854,GINS3,0.894458931,-22.9338,CORO2A,0.9002278,0.43096456,CCND2,0.863433975,-0.009890851,CEP57,0.213748635,0.25754204,RMND1,0.039352514,1.8645589
TUSC3,0.968370056,0.29584152,GAB2,0.919352197,-22.281038,RNASE4,0.986013403,0.44696406,TBC1D12,0.987222176,0.63972783,ZNF385A,0.894458931,-23.194204,SMAD7,0.900321416,0.28755236,RPP25L,0.863453113,0.18273135,QTRT1,0.213851413,0.50513613,NPEPPS,0.039360509,0.7537965
ZFYVE28,0.96838231,0.08774807,TBX3,0.919352197,-22.442787,PAPSS2,0.986013403,0.42823857,RRAD,0.987222176,0.43816605,ANKRD9,0.894458931,-23.215628,F11R,0.900433756,0.3138946,MED11,0.863548801,0.07085973,TRIM44,0.214098224,0.50236094,PGD,0.039364507,1.4937397
KLF10,0.968394563,0.071412906,KCNRG,0.919352197,-22.280994,MYT1L,0.986074011,0.31534472,MAP2,0.987222176,0.44441298,SPTSSB,0.894458931,-23.339914,SLC16A1,0.900527375,0.5325574,IMP3,0.864027272,0.08373231,PHKB,0.214108513,0.49115562,CHMP7,0.039428522,0.72174644
SH2D3C,0.968431323,0.15927523,TRPM4,0.919352197,-22.386478,PLN,0.986074011,0.4227579,PC,0.987222176,0.7363123,SOX13,0.894458931,-23.16637,SLC12A6,0.900546099,0.20548837,NONO,0.864046412,0.10063593,CORO1C,0.214118801,1.6299402,FLYWCH2,0.039472584,1.1080669
COA5,0.968455829,0.17425932,MEX3B,0.919352197,-22.282446,C16orf95,0.986074011,0.4382351,KYNU,0.987222176,0.6778728,SNX22,0.894458931,-23.195446,CEP170,0.900564823,0.52942103,COG7,0.864218674,0.53049463,MYL6B,0.214159959,0.71376395,MAPK14,0.039488617,0.74544394
OBSCN,0.968468082,0.17118509,PTK6,0.919352197,-22.146114,SCLY,0.986089163,0.36121783,MISP,0.987222176,0.36824745,NAPSA,0.894458931,-22.802166,HNMT,0.900620995,0.37555787,RBM10,0.864544076,0.36687893,BMS1,0.214201123,0.8780868,BBX,0.039524711,0.31592587
USP31,0.968480336,0.2159663,ENPEP,0.919352197,-22.51659,HSP90AA1,0.986089163,0.001729762,LGALS2,0.987254729,0.43445584,C4orf36,0.894458931,-23.26365,SLC30A1,0.900677168,0.33629194,ZNF439,0.864620645,0.44641164,PGLYRP2,0.214242293,1.7883214,TNFRSF18,0.039532736,0.79447573
IER5L,0.968492589,0.21353622,AOX1,0.919352197,-22.425934,OTOF,0.986104315,0.2213903,LPAR1,0.987254729,0.34536296,ZBTB39,0.894458931,-23.203245,PRKCH,0.900808239,0.063486524,ITFG1,0.864678072,0.16554843,EIF1AD,0.214273174,1.2799153,BIN3,0.039605021,1.2066492
NEK6,0.968664136,0.2082158,C14orf132,0.919352197,-22.462944,S1PR3,0.986104315,0.42028573,ZNF469,0.987254729,0.27763024,RIMS3,0.894458931,-23.21084,TMCO1,0.900864413,0.081446245,CXCL8,0.8647355,0.5610544,CRKL,0.214345241,0.81458503,NAF1,0.039741865,2.0366583
BUD13,0.969068503,0.31116566,SYTL4,0.919352197,-22.325243,FOXJ1,0.986104315,0.39135492,PPT2,0.987254729,0.39351946,SEMA6B,0.894458931,-23.086674,TTC7A,0.900883138,0.5258261,KAT5,0.864754643,0.2864535,GCA,0.214407028,1.0876737,FANCD2,0.039782189,3.3196476
ADAL,0.969105264,0.25251016,KIT,0.919352197,-22.203451,ARMC5,0.986119467,0.46849692,ADCK1,0.987254729,0.4994241,BCL7A,0.894458931,-23.29798,TTC13,0.900939313,0.30085346,TMEM161B,0.864754643,0.24905875,TULP4,0.214540942,0.80561614,ASB8,0.039822549,0.8907264
ANKRD36B,0.96919104,0.054251418,TUFT1,0.919352197,-22.475859,OTUD7A,0.986134618,0.3085308,SCX,0.987287281,0.31031302,CYP4B1,0.894458931,-23.292746,CHD8,0.901014214,0.25378373,DCUN1D4,0.864812072,0.4830898,MID1IP1,0.214602769,0.63919055,PIGP,0.039931692,1.0754424
HDGF,0.969301324,0.13625132,TTC30A,0.919352197,-22.151934,DOK7,0.986134618,0.3098677,PKDCC,0.987287281,0.27441645,LIMCH1,0.894458931,-23.12413,USP39,0.90103294,0.29033175,TIMM21,0.864869501,0.52699745,SIRT7,0.214643995,0.21189532,ANKRD36,0.039951932,0.8961323
DNAJC11,0.969325832,0.22266038,MTMR11,0.919352197,-22.282688,GATA6,0.986134618,0.40733925,ADAMTS16,0.987287281,0.10382253,A4GALT,0.894458931,-22.901196,CAPRIN2,0.901089116,0.47119734,TMEM87A,0.865041795,0.14639069,TUBA4A,0.214932731,0.2720687,ARHGEF2,0.039984333,0.92723745
MCPH1,0.969411609,0.21034448,NEURL1B,0.919352197,-22.072205,TCF7L2,0.986134618,0.23898436,ZNF154,0.987287281,0.086126804,TNFRSF10D,0.894458931,-23.313528,STAU2,0.901220196,0.19557804,CAMKMT,0.865080083,0.44407082,RBFA,0.215190767,1.0286232,GPN2,0.040000542,1.49783
FXYD7,0.969460624,0.17872787,IGSF3,0.919352197,-22.08505,GPRC5B,0.986134618,0.43065915,LINGO3,0.987287281,0.24313608,CDHR3,0.894458931,-23.24861,MED9,0.901313826,0.49069417,NARF,0.86515666,0.14171177,PURA,0.215201093,0.5612945,TUBGCP3,0.040118225,1.4856826
URGCP,0.96950964,0.42299482,LBHD1,0.919352197,-22.230549,SLC52A1,0.986164922,0.20636876,RASIP1,0.987287281,0.23771736,CADM3,0.894458931,-23.415796,WDR12,0.901407458,0.42787147,AEBP2,0.865271529,0.18133764,ARHGAP18,0.215511042,0.45061475,NUFIP2,0.040236201,0.9283832
TRAF4,0.969558656,0.3003412,CCDC150,0.919352197,-21.7074,PPP1R32,0.986195226,0.19269869,WDR97,0.987287281,0.29004937,ZNF165,0.894458931,-23.303509,SLC38A6,0.901444911,0.5709834,CDC73,0.865290674,0.10389986,EIF4A2,0.215728198,0.513121,ZFAND1,0.040366723,0.5821052
DHRS4L2,0.969656687,0.16349702,ADAM23,0.919352197,-22.507832,OAF,0.986195226,0.15600461,ATP1B1,0.987303557,0.18600647,AMN,0.894458931,-23.041874,TTLL12,0.901482364,0.6372908,RNF121,0.865482128,0.44212475,ELP5,0.215831661,0.6156761,PTEN,0.040383064,1.0385896
DIP2B,0.969730212,0.41064042,CSF2RB,0.919352197,-22.423916,IRAK3,0.986195226,0.23122829,TMC5,0.987319833,-0.006533258,ZNF670,0.894458931,-23.220196,PPARA,0.901557271,0.34139073,PDLIM2,0.865539566,0.08024218,RNASE6,0.215831661,1.3894168,RRP15,0.040554977,1.123879
DPY30,0.969865007,0.07190691,NRCAM,0.919352197,-22.464262,ZNF219,0.986195226,0.1504344,GALNT8,0.987319833,-0.03872234,STAP1,0.894458931,-23.135769,TPCN1,0.901557271,0.6675905,RNF13,0.865673591,0.11986192,FAM217B,0.215852358,0.67442155,JAKMIP1,0.040563179,0.71850365
C20orf194,0.969987548,0.2207196,CACNA1I,0.919352197,-22.337362,PLD4,0.986195226,0.05615679,ZNF610,0.987352385,-0.2592411,ANKS6,0.894458931,-23.272789,UBXN6,0.901594725,0.12969857,FAM76B,0.865673591,0.43547982,BCL2L1,0.215945511,0.39491832,UCK2,0.040604209,3.151766
KLHL42,0.970012057,0.25432828,FIGN,0.919352197,-22.496382,TMEM182,0.98622553,0.19186652,GNG7,0.987384938,0.22000524,C12orf42,0.894458931,-23.276789,EIF2AK3,0.901613452,0.5730428,DPP3,0.865711885,0.33532807,MIF4GD,0.216152622,0.29997256,RPE,0.040628844,1.3097616
TEX261,0.970195871,0.20438875,CHMP4C,0.919352197,-22.343536,CDH2,0.986255834,0.058539294,FAHD2B,0.987433766,0.08276484,DNA2,0.894458931,-22.728678,TMEM175,0.901650906,0.27593434,MAPKAP1,0.86605654,0.2690105,CD46,0.216173341,0.15314807,SGMS1,0.040645275,1.7904148
GADD45G,0.970208125,0.24339503,MEGF11,0.919352197,-22.434824,PTGS2,0.986255834,0.11036492,GDPGP1,0.987498871,0.40401646,EIF3C,0.894458931,-23.247442,MPP5,0.901688361,0.72781616,FRAT1,0.866171431,1.478124,NNMT,0.216183702,0.19120981,INSIG2,0.040702825,1.2407404
AP3B1,0.970244888,0.15595178,STAC3,0.919352197,-22.296017,EPHX4,0.986255834,0.076418236,MAP3K11,0.987791843,0.14232375,ZKSCAN2,0.894458931,-23.159761,PEX1,0.901725816,0.04425432,PTGR2,0.866171431,1.4643015,CCDC91,0.216235507,0.3541889,KRT19,0.040719281,0.61757904
TBX6,0.970379687,1.0049266,HLX,0.919352197,-22.670269,STXBP1,0.986255834,0.14738025,CTSK,0.988231304,0.0650472,SLC12A7,0.894458931,-23.336294,KLHDC8B,0.901781998,1.1979766,GATAD1,0.866209728,0.25322402,MPC1,0.21632878,0.09062379,SLC25A17,0.040760445,1.9196333
PSD,0.970379687,1.0464303,CCDC189,0.919352197,-22.23611,MEIS2,0.986255834,0.0944913,SAP30L,0.988345239,0.073544,MLC1,0.894458931,-23.081959,SPAG8,0.901781998,1.1271336,CYP27A1,0.866248026,1.4502397,MED31,0.216349511,0.60592574,PPP4R3A,0.040818134,0.5385158
SLC16A1,0.970379687,0.28400716,HBM,0.919352197,-22.766136,DDX51,0.986331594,0.29754394,MSH2,0.98857311,0.09518392,NATD1,0.894458931,-23.127213,TWSG1,0.901800726,0.48170832,GPR174,0.866248026,1.4106226,KCTD20,0.216453188,0.8409467,CNPY4,0.040826381,1.4004114
ZNF839,0.970391941,0.44578,IL13RA2,0.919352197,-22.416225,RAB38,0.986392201,0.1837774,MSMO1,0.988605663,0.09017852,C8orf82,0.894458931,-23.214706,ERCC8,0.901819453,0.81484574,NOCT,0.866362922,1.3444065,AMN1,0.216494669,1.4440733,IMPDH1,0.040834629,0.57311213
NHLRC4,0.970404195,1.1716586,VTN,0.919352197,-22.51831,PLA2G7,0.986437657,0.013691603,ZNF701,0.988768428,0.12090142,BTBD11,0.894458931,-23.13638,POLE,0.901838181,0.8841425,SVEP1,0.86643952,1.3412548,NGLY1,0.216691781,0.29500568,MID1IP1,0.040867637,0.99121577
RAB3IL1,0.970404195,0.8040677,PRX,0.919352197,-22.413685,PPP1R9A,0.986437657,-0.28569025,CDC7,0.988800981,0.48798388,NRL,0.894458931,-23.224903,SLC26A11,0.901875636,0.41850084,RTKN,0.86643952,1.3125234,ODC1,0.216702159,0.41782424,GCN1,0.040921322,2.0863569
HOXA5,0.970404195,0.92225575,AURKC,0.919352197,-22.247278,E4F1,0.986634634,0.134827,B4GAT1,0.98909396,0.47519907,KIF27,0.894458931,-23.426928,IMPACT,0.901894364,0.32950413,INPP5K,0.86645867,0.18553704,BORCS6,0.216774815,0.7665089,UBE4A,0.040933719,0.93038255
WNT7B,0.970404195,1.0850185,RUNX1T1,0.919352197,-22.569506,CASS4,0.986664938,-0.03907237,MRRF,0.989224174,0.24151058,NEBL,0.894458931,-23.293987,KHNYN,0.901913092,0.20315622,ZNF704,0.866592721,1.1972007,ADI1,0.21694095,0.25142285,LPAR2,0.040966794,0.9597766
NTRK2,0.970428704,0.8119324,DACH1,0.919352197,-22.308847,MMP9,0.986664938,0.037040196,MAP3K7,0.989435771,0.105864204,TRIM16L,0.894458931,-23.385326,PIAS3,0.901950548,0.3154822,PDGFA,0.866592721,1.084705,KIDINS220,0.216982498,0.38254005,SERPINF1,0.04100817,1.5716357
SALL2,0.970428704,0.9578782,COA6,0.919257926,0.21167949,LY75,0.98668009,0.114293694,FXYD6,0.989484601,0.3735023,FOLR3,0.894458931,-22.888815,CLMP,0.902006733,1.1406276,CBY1,0.866611871,0.37252945,CLPTM1L,0.217117569,1.3130206,ACIN1,0.041041297,0.7032307
ZNF471,0.970428704,0.9523855,POT1,0.91910979,-0.034097914,MAPK7,0.986695242,0.3065773,ASCC1,0.989614816,0.16381253,OCLN,0.894458931,-23.176956,ZNF607,0.90215656,1.1221758,MEX3A,0.866707625,1.2550505,ICE2,0.217159142,0.52655894,SLAIN2,0.041103469,0.9026957
KCNJ14,0.970428704,0.85794294,SETDB1,0.919082856,-0.05979447,ZCCHC4,0.986740698,0.07164503,NAPRT,0.989647369,0.11037541,FOXRED2,0.894458931,-22.916971,RALGPS2,0.902194017,0.99709684,PSMC6,0.866726776,0.06891758,CCDC112,0.21717993,2.1361518,EPN1,0.041107617,0.841253
IL1RL1,0.970453213,0.95230556,PAOX,0.919002056,-0.10805657,IDH1,0.98675585,0.08820041,JSRP1,0.989679923,0.39171606,GPT2,0.894458931,-22.926477,AVIL,0.902306391,0.47980645,CEPT1,0.866765078,0.36926585,PXK,0.21736709,1.4336586,MCCC1,0.041111765,1.8684146
RASL11A,0.970477722,0.65530837,CERCAM,0.918840458,-0.11070141,RBM14,0.986801307,0.15565753,LONRF2,0.989777584,0.78242576,LACC1,0.894458931,-23.184582,HARBI1,0.902343849,0.92816657,RHOBTB2,0.866860835,0.966132,ENOPH1,0.217460713,0.62481135,GGCX,0.041215581,1.3878202
EGFL8,0.970477722,0.56923676,NFE2L1,0.918773126,0.10537461,XRCC4,0.986846763,0.3374827,GPR18,0.989777584,0.21271767,HEMGN,0.894458931,-23.240484,ZNF552,0.902343849,0.47434905,RANBP3,0.86691829,0.21614207,SRP14,0.217668869,0.66765577,GTF2H3,0.041223896,2.1308486
CADPS2,0.970477722,0.6864243,ZNF337,0.918665397,-0.07190027,HELQ,0.986892219,0.057921648,RGL2,0.989826414,0.10224807,NBPF1,0.894458931,-23.268984,PUS7,0.902381308,1.0078666,BCKDHA,0.866937441,0.97614664,PRPS1,0.218242037,0.501534,DNAJB2,0.041286303,0.7251756
ZP3,0.970477722,0.9415334,TAF2,0.918638465,0.23172298,BANP,0.986907372,0.10284894,SPEG,0.989842691,0.2684949,SASH1,0.894458931,-23.365473,ULK2,0.902418766,0.84867936,VPS26B,0.867014049,0.22203474,AK1,0.218492486,0.6658248,MCM8,0.041332119,3.483948
ZNF667,0.970477722,0.7842031,MPP1,0.918571135,0.024476305,SAP25,0.986907372,0.06104283,ZNF483,0.989842691,0.32547718,ZNF782,0.894458931,-23.17682,ST6GALNAC5,0.902474955,1.9463855,CHRAC1,0.867109811,0.17272075,TOR2A,0.218502926,0.8226332,UMAD1,0.041382149,1.297994
COBL,0.970477722,0.76408845,GNAO1,0.918167168,-0.21210237,TAZ,0.986952828,0.120098725,PRRG4,0.989875245,0.38320804,NINL,0.894458931,-23.009615,SCNN1D,0.902474955,2.155744,DNAJB1,0.867205575,0.05310014,CASP8AP2,0.218534247,0.72801137,DNAJB1,0.041448936,0.08678537
KIF26B,0.970502231,0.5618498,PPIC,0.918072912,-0.1828258,QTRT1,0.986983132,0.082004644,SMPDL3A,0.989875245,0.3522448,BAMBI,0.894458931,-23.313108,SETD1B,0.902493684,0.30785483,CACTIN,0.86730134,1.0240835,B3GALT2,0.218628232,2.6650555,SUV39H1,0.04160792,2.854386
PDE1A,0.97052674,0.34232298,CISH,0.917722829,0.105185516,EXOC5,0.987210415,0.10839336,TXNRD2,0.989924076,0.3254688,RELT,0.894385455,-0.06365565,SYK,0.902493684,0.87461334,SLC35B3,0.867741887,0.32390875,GPR68,0.218826739,1.101195,GTF3C2,0.041624686,1.3331136
KCNS3,0.97052674,0.6421789,PYROXD2,0.917628579,-0.19746529,ZNF736,0.987271024,0.06179767,IRF6,0.989940352,0.15229875,SPINK2,0.894275244,-0.36574098,LRFN3,0.902549874,0.55163383,IPO11,0.867780197,0.8125862,CSNK1G2,0.218868546,0.90820676,LASP1,0.041670819,0.11971203
CEMIP,0.970551249,0.49066222,DUSP14,0.917615114,-0.00038398,MROH1,0.987271024,0.118042246,NBPF1,0.989972906,0.34939024,STK3,0.894201771,-0.12259375,ARRDC4,0.902549874,1.9700929,GRHPR,0.867799353,0.15521042,SLC39A7,0.218899906,0.787557,ARL14EP,0.041725397,0.7269207
CEP70,0.970551249,0.3117244,RETSAT,0.917574722,0.22273415,TFIP11,0.98737709,0.12308158,NEK11,0.989972906,0.32056987,CYB561A3,0.893797686,0.38754153,CFAP45,0.902549874,1.9031118,ELP5,0.867875975,0.18877311,PRKCH,0.218920814,0.12107933,UBALD1,0.041813688,1.2165388
PRSS16,0.970563504,0.5832088,RAB3D,0.917574722,-0.07491822,SHPK,0.987392243,-0.029026866,SLC8A1,0.99000546,0.26402098,CHRNB1,0.893558921,0.004297811,CLDN10,0.902587333,1.7009244,PAQR3,0.867971754,0.7556126,ACYP1,0.219129973,0.7558204,LYRM7,0.041843154,1.0579069
TWSG1,0.970563504,0.26320037,CCDC71L,0.917547793,0.014368274,ITSN2,0.987543766,0.06872933,SASH1,0.99000546,0.21256736,FCGR2A,0.893467091,-0.37472728,TMEM117,0.902606063,0.72961295,ZNF816,0.868105848,0.6933705,LPCAT4,0.219234606,0.5724937,TRUB2,0.041859999,1.277207
MAPK11,0.970588013,0.49486005,ADAM28,0.917547793,-0.08560081,VWA8,0.987771051,0.29173324,CHST14,0.99000546,0.2461561,AMPD3,0.893301801,-0.002949204,GRAMD1A,0.902624793,0.08156055,TADA2A,0.868220789,0.67185414,SH2D3A,0.219622061,1.0245092,ABCB7,0.041906354,1.9438761
ABHD11,0.970698304,0.21150625,TRIM5,0.917493937,0.007463793,PMPCA,0.987786204,0.1312963,RAD51B,0.990070568,0.19242238,GPATCH3,0.893099785,-0.15848534,ABCC10,0.902624793,0.4123561,WBP4,0.86827826,0.30547008,TRMT13,0.219674458,0.5262949,ZDHHC3,0.041935874,0.61552876
