C0_CD4_FOXP3_nam,C0_CD4_FOXP3_pva,C0_CD4_FOXP3_log,C1_CD8_HAVCR2_nam,C1_CD8_HAVCR2_pva,C1_CD8_HAVCR2_log,C2_CD8_GZMK_nam,C2_CD8_GZMK_pva,C2_CD8_GZMK_log,C4_CD4_CCR7_nam,C4_CD4_CCR7_pva,C4_CD4_CCR7_log,C5_CD8_GZMK_nam,C5_CD8_GZMK_pva,C5_CD8_GZMK_log,C6_CD8_ZNF683_nam,C6_CD8_ZNF683_pva,C6_CD8_ZNF683_log,C7_CD8_ZNF683_nam,C7_CD8_ZNF683_pva,C7_CD8_ZNF683_log,C8_CD4_CXCL13_nam,C8_CD4_CXCL13_pva,C8_CD4_CXCL13_log,C9_CD4_EZH2_nam,C9_CD4_EZH2_pva,C9_CD4_EZH2_log
SNRNP27,0.712872391,0.04103726,ACOT7,0.476356205,-0.8438049,CORO7,0.734605778,-0.11951344,PFDN1,0.724233815,-0.078376174,ZBTB7A,0.353636877,-0.92711717,NIPAL2,0.865193867,-1.3574265,C18orf32,0.866745927,-0.15023382,STX1A,0.886465513,0.28950635,KRT86,0.739240267,0.13433015
PRR7,0.712746335,-0.35284483,DIMT1,0.476314188,-0.27476704,THAP6,0.73459147,-0.34677884,WDR83,0.724218519,-0.37800238,GALK1,0.353468166,-1.1157901,SORD,0.865193867,-1.2621124,TMEM80,0.866669323,-0.22767015,LYSMD4,0.886465513,0.41939268,MAFG,0.739271862,0.62948585
ACP1,0.712711957,-0.010808426,SNRPE,0.476272174,-0.064254284,SLC25A44,0.73459147,-0.26574615,FTSJ3,0.724203223,-0.33237013,DPP3,0.353456117,-1.5880811,MSC,0.865193867,-0.66905516,FSTL1,0.866611871,-0.38333496,CXCL10,0.886465513,-0.2924191,PARP3,0.739335052,0.32105452
RRM1,0.712540078,-0.124014035,LAT2,0.475841644,-0.6066852,PI4K2B,0.734548547,-0.8419739,C8orf76,0.724187927,-0.2725245,MTMR9,0.35343202,-1.0286213,PARVA,0.865193867,-1.4098315,COPB1,0.866382071,-0.05017784,ZNF219,0.88650958,1.124843,HRH2,0.739335052,0.9317687
FKBP4,0.7124255,-0.075836316,TSC22D2,0.475684186,-1.0205188,SPINT1,0.734462703,-0.9598793,KMT5B,0.724172632,-0.18695317,CEP78,0.35338383,-1.0090022,PGAM5,0.865100864,-1.343168,CCDC22,0.866305473,-0.27819982,MICALL2,0.88650958,1.0532746,ATAT1,0.739524635,-0.2794001
BET1,0.712310928,-0.1425736,TMEM134,0.47560022,-0.06895986,ZNF138,0.734405476,-0.49391332,DDX23,0.724126746,-0.09694386,NSRP1,0.353118856,-0.29798177,GCA,0.865026464,-0.1782084,SCAF8,0.866267175,-0.4656231,MAML3,0.88650958,0.5609441,C1QTNF6,0.739524635,-0.7179331
ZNF197,0.712288014,-1.2193887,PDZD11,0.475201494,-0.20495434,TRIM25,0.734333944,-0.37919724,LTBP3,0.724126746,-0.2717345,CXCL13,0.353070692,-26.60899,NPC1,0.864933464,-0.327883,TRAK1,0.866267175,-0.60790807,IRAK3,0.88650958,1.2058986,IFT74,0.739524635,-0.30098322
MKRN2,0.712207819,-0.19856411,ADRB2,0.475201494,-0.34830022,ARHGAP4,0.73427672,-0.042055115,ANKH,0.724096155,-0.4116703,ZFP14,0.352793832,-0.87206966,ZNF599,0.864896265,-1.5470581,MYO19,0.866113985,-0.49389264,C2orf81,0.88650958,0.9025384,ZNF827,0.740947009,0.2878942
FAM102A,0.712116171,-0.02421732,LYRM4,0.475096596,-0.16334659,MAPK8IP3,0.734219497,-1.0245714,INIP,0.724080861,-0.19855839,NAALADL1,0.35266147,-3.1111615,KBTBD7,0.864877666,-0.9158469,ANKRD40,0.866037392,-0.50994486,OTUD7A,0.88650958,0.9747021,RYK,0.741231591,0.16513859
TRIM28,0.71209326,-0.06526311,MRPS9,0.475065129,-0.3870993,RAB40C,0.734047838,-2.401437,ZNF500,0.724004388,-0.960915,GPS1,0.35266147,-0.42071155,POLD3,0.864821868,-0.025704067,SLC35E3,0.865979948,-0.20888814,SLC2A8,0.886553646,-0.114859246,HTRA1,0.741959015,-0.18383174
