Fairfax_response_down_responder	Fairfax_response_up_Non_responder
AP1B1	COMMD2
PWP1	ANKIB1
RNF41	DHX29
CXorf40A	SP3
TBC1D22B	IQCB1
SNX12	MRS2
ARHGAP17	RPAP3
DEF6	FAM76A
PIK3CD	RNF111
GCN1	TBCK
ZNF592	ARFGEF2
EIF2AK1	ZMYM4
IAH1	CHMP3
GMPR2	SLC39A9
RANBP10	ARHGAP19
CLEC16A	PPP2CB
POLR2A	RPP30
UBN1	CCNH
CNDP2	GPD1L
SENP3	PRKRA
GNL2	ARL1
SLU7	MIA3
SMG5	PDCD6IP
SMIM12	STAU2
BRF1	MARCHF5
COPS7A	R3HDM2
SLC35B1	TRA2A
RAB5B	SMIM7
LETM1	CNOT8
SAFB2	SRSF6
PMM2	CNOT2
MAML1	RAB3GAP2
DHX8	ERICH1
ARFIP2	PHF11
GGA2	C3orf62
FMNL1	SENP5
EFTUD2	ENY2
ELAC2	KLHDC10
PNPLA6	FBXO38
FNBP1	TOMM70
CBX6	CCDC90B
PLEKHM2	EIF1B
QARS1	RSRC2
SMARCC2	DDX18
TNFAIP1	COX15
ACSS1	C11orf58
WIPF2	GPBP1
ZFYVE1	FAM149B1
PSMD7	UGP2
ANKS1A	PNRC2
DNPEP	AVL9
TMEM214	PHKB
SUPT5H	QTRT2
SLC4A1AP	HIPK1
ZC3H7B	ZNF562
DDX19B	VPS8
RANBP3	DNAJC13
NSRP1	TMEM192
UBE2I	USP3
UBAP2	USP48
ATXN2L	PRKAG2
EHMT2	POLR3F
RNF220	FGD5-AS1
NUP188	KIAA1143
ELMO2	RSPRY1
KDM1A	ME2
PARN	DLG1
COPS7B	NARS1
VPS35L	UBQLN1
ALAD	SMAD2
FUBP3	FBXW2
SNRNP200	XPOT
AKT2	MAP3K7
ARMH3	MED6
CUTC	SEC22C
VPS11	GATC
DCTD	EIF2AK3
EIF4ENIF1	ZC3H15
YY1AP1	FAM204A
CLPTM1L	MORF4L2
HARS1	TIMM10B
CUL1	ZDHHC6
NPLOC4	MAPK9
GLYR1	DHX40
RBM22	SS18
	ARMC8
	ELP2
	PPP4R3A
	TTC17
	AIMP1
	AKAP10
