Fairfax_response_down_responder	Fairfax_response_up_Non_responder
AC090587.2	IFIT1
CDC34	AL158163.1
MRPL54	ARL5B
SMAD7	MTMR7
NOMO3	AC090181.3
SLC39A3	NA
SIPA1	TMEM41B
TRBJ2-3	FAM241A
HDGFL2	HK2
YBEY	AC012170.2
METRN	PFKFB4
SBK1	PGAP1
ZNF653	KANSL1L
HPS6	AL390726.4
SSBP4	GOLT1B
ST3GAL4	RAB30-DT
PPP1R16A	CYP3A5
SEPHS2	LINC02648
PHF23	Y_RNA
CPSF1	AC011379.2
CCDC34	GNAQ
AC010247.1	TRAV20
NMB	CLHC1
RBM38	POLR3G
FAM174C	ACVR2A
PDCD2L	AL049840.6
ABHD15	MOB1B
CBX8	PAPLN
TBX21	AC025034.1
PPP1R14B	AL592148.3
DDT	AC096992.2
TMUB1	FAM92A
RASSF7	PP2D1
ZBTB45	NA
FBXL14	AL356750.1
RPL14P1	SPATA6
RUNX3	IL6ST
ZBTB7A	TTN
PRR12	AC000123.3
LDLR	NA
ABI3	AL359922.2
SLC39A4	ANKHD1-EIF4EBP3
TMEM191A	AC003681.1
CCDC28B	AL161725.1
HSD11B1L	AC093227.1
MSX2P1	ALG10
PRELID1	AL031595.2
TM9SF1	AL353763.2
ZNF865	AC007878.1
PRR5	DLEU2
RPP25L	AC010894.5
ADRB2	FSD1L
TMEM109	ATP5PDP4
KLHL25	MFSD4A
PMS2P4	RNF212
ZNF574	AC124944.2
RABAC1	AC018638.1
AL096870.2	MXD1
EHD1	AL137186.2
AXIN1	AC005070.3
MRPS26	CCDC152
RNASEH2A	AP003352.1
BCL2L12	FAM157A
HOXB4	TENM1
PSMB10	EFCAB13
MOSPD3	AC009812.1
SLAMF1	IER3IP1
PPIAP22	TMEM220
CCDC102A	UBE2D1
SH2D2A	FAM13A
YJU2	AC005261.1
CHPF	A2MP1
NAALADL1	SPRY3
C7orf50	RIC3
IFT22	RCN3
FAM207A	PZP
PDK2	DNAJB14
BRF2	UBE2W
B3GNT9	AC006042.3
NDUFB7	LINC01409
FAM83H	NT5DC3
RPL13AP5	ZBTB41
KCTD11	ZMYM1
NDUFA3	SNX10
LTBP2	LIN7C
C1orf35	AC096586.2
RPL13P12	PDE6C
FCMR	AC021078.1
CHMP6	SLC15A2
PPDPF	AL590233.1
MON1A	BMS1P4
RHEBL1	NA
ZBTB12	EPHB4
H1-10	SNX16
BLOC1S4	AL121603.2
GIPC1	AC015813.1
MRPL14	IL15
ZNF174	CPNE8
MT1F	INTS6-AS1
TMEM250	NA
UQCC3	KCNQ1OT1
HSPBP1	RAB27B
RIOX1	CHRM3-AS2
CCDC142	GRK3
DUSP23	AP005899.1
ABHD17A	TBL1XR1
ZNF425	CKAP4
IRAK2	CCPG1
NAIF1	CASD1
PLAAT4	MYB
POP7	CCDC88A
NXT1	FANCL
ELMO1	AC007342.7
DOLK	DDX47
LRIG1	AC090948.3
NA	RRAGD
BICRA	PIGF
TUSC2	ABCA5
FBXW9	ZNF117
THAP8	PKIA
TUBB4B	AC015971.1
TBC1D9B	SNORD14A
MAZ	AC024060.2
KEAP1	GOLGA8A
HINT2	ETFRF1
PI4K2A	FAM13A-AS1
HHLA3	TMED5
EXOSC4	NHS
PRRT3	AC048341.1
C22orf34	C20orf197
FLYWCH2	RBM27
RARG	SDCBP
SNAPC2	SOD2
PRMT1	AC018904.1
DGCR6L	Z95152.1
PELO	TRPC1
REX1BD	ANKRD18EP
ADAP1	LINC01002
VPS51	AC008906.1
MCRIP1	FGFR1OP
TRIM16L	VAMP4
SPINDOC	AP1S2
MUL1	KLHDC1
CRAT	AC095057.3
HCFC1R1	GAB2
SUV39H1	TM6SF1
CCDC71	CHIC1
ZNF777	MXRA8
BCL7C	TMEM167A
DNAJC1	ZRANB2
AHDC1	C11orf65
ISOC2	LINC01001
GRK5	SLC25A37
TRADD	RIMKLBP2
SLC2A4RG	SOCS6
RNF187	AC008870.2
AC007969.1	RAB11FIP1P1
AC009245.1	ZDHHC21
SLC9A3R1	NABP1
C6orf226	MSC-AS1
MRPS2	GPR135
BX679664.3	AC015871.4
FOXP4	ESRP2
FARSA	CREG1
NRAV	LINC00342
CCNQ	CCDC180
RTL6	KPNA5
MAD1L1	ACER3
TAGLN2	PTAR1
ZNF524	TVP23C
ZNRD2	GOLGA8B
ZNF408	HSD17B7P2
CMTM1	SLC25A36
BANF1	CFAP70
MRPL34	SLC38A6
LRRC42	AC007066.2
VPS37B	ARL6
CKS1B	CFLAR-AS1
SDF4	CMTM4
ELL	MTHFD2L
SMARCB1	TTC3P1
DDX28	PUS7L
LMNB2	SLC36A4
TRMT112	PPP1CB
COA3	AC023818.1
CEACAM21	PELI1
PRX	MAP3K20
DCTPP1	NA
METTL26	MTX3
PFDN2	PTBP2
TMED1	CENPK
EHD3	RALGPS2
PLCD1	PDE8B
PGP	OGFRL1
MRPL57	GLMN
NAA38	ZMYM6
COX17	TMEM106B
PRADC1	CTBS
SLC16A13	ELMOD2
EIF4A3	FRMD3
C8orf82	CLCN5
BHLHE40	PFKFB2
POLR2I	SLC16A7
AGFG2	AC010976.1
PEX14	SCOC
FKBP4	NUDT6
RPL23AP82	MIR29B2CHG
TRBJ2-6	AL390195.2
SPATA5L1	USP53
NHP2	ZMAT1
PKN3	NA
ECI1	TLR1
ZNF575	SAT1
MAF1	FPGT
GTF3C1	DGKH
FAHD1	AC018529.2
OSER1-DT	AC009120.2
MPV17L2	AC011477.2
MAP1S	ZNF300
EFNB1	ATP6V0A1
MRPS18A	RNF32
CCDC12	ASB14
NELFB	AC096921.2
CHST12	TUB
TIMM8B	DPY19L4
DAPK3	SREK1
BCR	AC106886.5
LAMTOR2	KBTBD11
NCBP2AS2	ZNF891
PRMT2	NDUFV2
LINC02846	HCG27
MZT2A	TP53I3
BLOC1S3	FTX
CPLANE2	AL354892.3
PCBP1	AC092683.1
ELP6	LMBRD2
CDK4	FARP1
HIRIP3	SH3BGRL
SKAP1	AL157786.1
RAVER1	ETFBKMT
BICDL1	AL139022.1
EZR	LINC01578
RPS2P5	CBWD3
SAMD3	MLANA
KCTD5	UGCG
ZNF222	ANKHD1
IER5	CACNB2
GNB1L	IKZF5
EMP3	LHX4
RAB37	SPCS3
