C0_CD4_FOXP3_nam,C0_CD4_FOXP3_pva,C0_CD4_FOXP3_log,C1_CD4_CCR7_nam,C1_CD4_CCR7_pva,C1_CD4_CCR7_log,C2_CD8_GZMK_nam,C2_CD8_GZMK_pva,C2_CD8_GZMK_log,C3_CD4_RORA_nam,C3_CD4_RORA_pva,C3_CD4_RORA_log,C4_CD8_GZMB_nam,C4_CD8_GZMB_pva,C4_CD8_GZMB_log,C6_CD4_CXCL13_nam,C6_CD4_CXCL13_pva,C6_CD4_CXCL13_log,C7_CD8_HAVCR2_nam,C7_CD8_HAVCR2_pva,C7_CD8_HAVCR2_log,C8_CD4_CXCL13_nam,C8_CD4_CXCL13_pva,C8_CD4_CXCL13_log,C9_CD4_EZH2_nam,C9_CD4_EZH2_pva,C9_CD4_EZH2_log
FAM220A,0.85142703,-0.547366,GNB5,0.148893008,-0.31714308,CPPED1,0.18453514,-1.6362156,TDP2,0.856194337,-0.023160696,TTC3,0.530999372,-0.13098745,RNF215,0.951922712,-22.117905,MAP3K8,0.852596353,-0.36059856,CYSLTR2,0.954884961,-22.547132,TMEM92,0.920053072,0.7925121
BRF1,0.851410032,-0.29395786,AHR,0.148620435,-0.28501287,EEF1E1,0.184134711,-0.18660818,LAMP2,0.85618253,-0.10978818,DLGAP5,0.530869003,-25.098017,ZNF492,0.951922712,-22.201689,SEMA3B,0.852365685,-23.778612,CYP27A1,0.954884961,-22.437439,NREP,0.920107665,0.5795553
ASXL2,0.851112583,-0.06470819,SLC22A18,0.148571473,-0.61978865,RNF207,0.183857241,-2.7619672,CD34,0.856123496,-1.414446,HPS5,0.530751685,-1.59469,NPIPA5,0.951922712,-22.062893,AHSP,0.852365685,-23.70502,MTCP1,0.954884961,-22.406427,CCDC120,0.920107665,0.79103225
ATG14,0.850942621,-0.38622722,ATG5,0.148568414,-0.16974533,PRKAG1,0.183832773,-0.19628151,MYOM2,0.856099882,-1.2626817,FANCL,0.530725616,-1.0038867,CELSR2,0.951922712,-21.766129,CXADR,0.852365685,-23.78159,CTAG2,0.954884961,-22.32534,AC240274.1,0.920162259,0.6147107
POLR2D,0.850670697,-0.065489545,MATK,0.148458297,-0.47298318,USE1,0.183034818,-0.21222372,CST1,0.85600543,-1.4499543,RSL1D1,0.530530119,-0.1276072,CKMT2,0.951922712,-21.988346,NHLRC4,0.852365685,-23.756765,ARHGAP44,0.954884961,-22.751293,ANXA13,0.920162259,0.3730289
CCDC150,0.850653703,-1.1959997,NECAP2,0.148415491,-0.12357515,MGRN1,0.182803242,-0.39867344,LAMP3,0.855981817,-1.4126114,NUDT5,0.530399809,-0.12968603,GAB1,0.951922712,-21.928547,SOBP,0.852365685,-23.70558,ZNF597,0.954884961,-22.642584,AL354822.1,0.920162259,0.024468705
NRAS,0.850636708,-0.20530997,UGCG,0.148110006,-0.39316273,GEMIN6,0.182774818,-0.7598078,AARS2,0.855910979,-1.3504319,APBA3,0.530295572,-0.60683876,UGT2B17,0.951922712,-22.135195,RELL1,0.852365685,-23.721601,NUAK1,0.954884961,-22.30186,KCNQ5,0.920162259,0.019024812
LRRC34,0.850619714,-1.4125365,NRAS,0.14785377,-0.61281085,ST6GALNAC4,0.182709861,-0.71538615,C7orf31,0.855792919,-0.96827656,U2AF1,0.530191346,-0.39040998,ZFP37,0.951922712,-22.03958,NAGLU,0.852365685,-23.784502,DRC3,0.954884961,-22.507248,TACC2,0.920162259,0.44123667
SPATA7,0.850602719,-1.4274616,TAB2,0.14785377,-0.28843454,C6orf47,0.18267333,-0.505265,VPS37A,0.855698473,-0.1796976,GRWD1,0.530074103,-0.60809284,MSRB3,0.951922712,-22.153158,CCL11,0.852365685,-23.73519,ATP1A4,0.954884961,-22.487547,PRTFDC1,0.920162259,-0.1841925
SRD5A3,0.850534742,-0.29461774,ID1,0.147497435,-0.61788607,AASDHPPT,0.182653037,-0.37251908,SNN,0.855367929,-1.0652407,QRSL1,0.530008975,-0.9948415,ZNF547,0.951922712,-22.070765,USP35,0.852365685,-23.72324,C1orf74,0.954884961,-22.284071,MYH10,0.920216853,-0.9196147
VPS9D1,0.850466766,-0.77061325,KAT6A,0.146977818,-0.25514093,PACS1,0.182405602,-0.46042943,SPIN2B,0.85534432,-0.26894602,TRAPPC10,0.529995949,-2.665064,ZSCAN20,0.951922712,-22.056892,SIAE,0.852365685,-23.571848,SNX22,0.954884961,-22.442892,DNAH14,0.920216853,-1.5232986
SNCA,0.850245852,-2.394345,CBX6,0.14685344,-0.33279267,ZNF688,0.182377224,-0.31854102,VPS39,0.855332515,-0.53260934,TNFAIP8L2,0.529969899,-0.9607832,DGKI,0.951922712,-22.035402,EFNB1,0.852365685,-23.644737,GTSF1L,0.954884961,-22.311611,SSPN,0.920216853,-0.40258005
TMCC3,0.85017788,-2.4731402,SUPT6H,0.146747327,-0.46264973,ZFC3H1,0.18237317,-0.31904265,HSD17B4,0.85523808,-0.20705639,UBXN6,0.529527147,-0.33114225,ZNF23,0.951922712,-22.210096,CEP57,0.852365685,-0.1198219,ZNF772,0.954884961,-22.518694,VIPR1,0.920216853,-0.21848255
CROT,0.849872024,-0.30909136,SLC35E1,0.146432367,-0.6239163,TIMM23,0.182279952,-0.8459267,RELL2,0.855061018,-0.3380453,ZDHHC3,0.529527147,-0.3888331,ERG,0.951922712,-21.84753,MS4A7,0.852365685,-23.707464,TICRR,0.954884961,-21.757648,POMT2,0.920216853,-0.37815672
